Transaction ID,Promotion Applied,Gift Wrap,Shipping Method,Payment Type,Weather during transaction,Event,Return Flag,Customer Satisfaction
207,TRUE,TRUE,Express,Debit Card,Sunny,Christmas Market,TRUE,2
1008,TRUE,TRUE,Express,Cash,Rainy,Black Friday,FALSE,3
1284,FALSE,FALSE,Standard,Online Payment,Sunny,None,FALSE,5
1348,TRUE,TRUE,Standard,Credit Card,Snowy,None,FALSE,2
2225,FALSE,FALSE,Overnight,Credit Card,Rainy,None,FALSE,5
2254,TRUE,FALSE,Express,Online Payment,Snowy,Black Friday,TRUE,1
3464,TRUE,TRUE,Overnight,Debit Card,Rainy,Black Friday,TRUE,4
3719,TRUE,FALSE,Standard,Credit Card,Sunny,Black Friday,FALSE,5
3880,FALSE,FALSE,Standard,Debit Card,Snowy,Christmas Market,TRUE,5
4005,FALSE,TRUE,Express,Cash,Sunny,Christmas Market,TRUE,4
4267,TRUE,TRUE,Standard,Debit Card,Sunny,Black Friday,TRUE,3
4391,TRUE,TRUE,Express,Credit Card,Snowy,Black Friday,FALSE,2
4507,TRUE,TRUE,Express,Cash,Sunny,Christmas Market,TRUE,1
4997,TRUE,TRUE,Overnight,Cash,Sunny,Christmas Market,TRUE,5
5283,FALSE,FALSE,Overnight,Online Payment,Sunny,Black Friday,FALSE,5
6063,FALSE,FALSE,Overnight,Debit Card,Sunny,None,FALSE,3
6320,FALSE,FALSE,Overnight,Debit Card,Rainy,Christmas Market,TRUE,2
6805,TRUE,TRUE,Standard,Online Payment,Rainy,Black Friday,FALSE,4
6970,FALSE,FALSE,Overnight,Cash,Rainy,Christmas Market,FALSE,4
7156,FALSE,TRUE,Overnight,Debit Card,Sunny,Black Friday,FALSE,3
7888,FALSE,TRUE,Standard,Credit Card,Sunny,Christmas Market,TRUE,3
8306,TRUE,FALSE,Express,Cash,Rainy,Christmas Market,TRUE,2
8403,TRUE,FALSE,Standard,Online Payment,Rainy,None,TRUE,4
8855,FALSE,FALSE,Overnight,Cash,Snowy,Black Friday,FALSE,4
8956,TRUE,FALSE,Standard,Cash,Sunny,Christmas Market,FALSE,5
9049,TRUE,FALSE,Express,Cash,Sunny,None,TRUE,2
9120,TRUE,FALSE,Express,Cash,Sunny,None,FALSE,5
9644,FALSE,TRUE,Standard,Debit Card,Snowy,Black Friday,FALSE,5
9993,TRUE,TRUE,Standard,Cash,Sunny,Black Friday,TRUE,3
1093,FALSE,TRUE,Express,Cash,Snowy,Black Friday,TRUE,3
2144,FALSE,TRUE,Overnight,Online Payment,Sunny,None,TRUE,5
2449,TRUE,TRUE,Express,Cash,Sunny,None,FALSE,5
2735,TRUE,FALSE,Overnight,Cash,Snowy,Christmas Market,FALSE,4
3426,TRUE,TRUE,Express,Credit Card,Sunny,Black Friday,TRUE,4
3824,FALSE,FALSE,Standard,Credit Card,Sunny,Christmas Market,TRUE,2
3944,TRUE,FALSE,Overnight,Debit Card,Sunny,Christmas Market,TRUE,4
3946,TRUE,TRUE,Overnight,Debit Card,Rainy,None,FALSE,5
4145,FALSE,TRUE,Express,Debit Card,Sunny,None,FALSE,3
5108,TRUE,TRUE,Express,Credit Card,Rainy,Black Friday,TRUE,3
5373,FALSE,TRUE,Overnight,Cash,Sunny,None,TRUE,1
6256,FALSE,TRUE,Standard,Online Payment,Snowy,Christmas Market,FALSE,4
6706,TRUE,TRUE,Standard,Online Payment,Sunny,None,FALSE,5
7452,TRUE,FALSE,Express,Debit Card,Sunny,None,FALSE,2
8268,FALSE,TRUE,Overnight,Cash,Snowy,Black Friday,FALSE,1
107,TRUE,FALSE,Standard,Online Payment,Rainy,Black Friday,FALSE,1
609,TRUE,TRUE,Express,Cash,Snowy,None,FALSE,2
722,TRUE,FALSE,Standard,Online Payment,Sunny,Christmas Market,FALSE,3
969,FALSE,TRUE,Express,Debit Card,Rainy,Black Friday,TRUE,4
1741,FALSE,TRUE,Overnight,Online Payment,Snowy,Black Friday,FALSE,4
2007,FALSE,TRUE,Overnight,Debit Card,Rainy,Black Friday,TRUE,4
2308,FALSE,FALSE,Overnight,Online Payment,Rainy,Black Friday,TRUE,3
2491,FALSE,FALSE,Overnight,Cash,Rainy,None,TRUE,3
2617,TRUE,TRUE,Express,Debit Card,Rainy,Black Friday,FALSE,1
2722,TRUE,TRUE,Standard,Online Payment,Sunny,None,FALSE,1
3012,FALSE,TRUE,Overnight,Cash,Rainy,Black Friday,TRUE,2
3155,TRUE,FALSE,Standard,Credit Card,Snowy,Christmas Market,FALSE,4
3532,FALSE,TRUE,Standard,Credit Card,Sunny,Christmas Market,FALSE,2
3639,FALSE,FALSE,Standard,Cash,Sunny,Christmas Market,TRUE,3
3657,FALSE,TRUE,Standard,Cash,Rainy,Black Friday,TRUE,5
3684,TRUE,FALSE,Express,Debit Card,Rainy,None,TRUE,3
3764,TRUE,TRUE,Standard,Debit Card,Rainy,Black Friday,TRUE,1
3789,FALSE,TRUE,Express,Debit Card,Sunny,Black Friday,TRUE,3
4278,TRUE,TRUE,Standard,Online Payment,Snowy,Black Friday,FALSE,1
4531,FALSE,TRUE,Express,Debit Card,Sunny,None,FALSE,1
5560,TRUE,FALSE,Standard,Credit Card,Sunny,None,TRUE,1
6401,FALSE,FALSE,Overnight,Cash,Sunny,Black Friday,TRUE,3
6748,FALSE,FALSE,Standard,Debit Card,Snowy,Black Friday,FALSE,1
6951,TRUE,FALSE,Overnight,Debit Card,Rainy,None,TRUE,2
7100,FALSE,TRUE,Express,Credit Card,Rainy,Christmas Market,FALSE,5
7325,FALSE,TRUE,Express,Credit Card,Rainy,Black Friday,TRUE,1
7416,FALSE,TRUE,Overnight,Online Payment,Rainy,None,TRUE,4
7471,FALSE,FALSE,Express,Cash,Sunny,Christmas Market,FALSE,4
7608,TRUE,FALSE,Overnight,Credit Card,Sunny,Christmas Market,TRUE,5
7774,TRUE,TRUE,Overnight,Online Payment,Rainy,Christmas Market,TRUE,4
8088,FALSE,TRUE,Overnight,Cash,Snowy,Black Friday,FALSE,1
8984,FALSE,FALSE,Express,Cash,Snowy,Black Friday,TRUE,4
9001,FALSE,FALSE,Standard,Debit Card,Snowy,Black Friday,FALSE,2
9085,FALSE,FALSE,Standard,Online Payment,Snowy,Christmas Market,TRUE,2
9642,FALSE,FALSE,Standard,Credit Card,Snowy,None,FALSE,5
117,FALSE,TRUE,Express,Online Payment,Snowy,Christmas Market,TRUE,1
490,FALSE,TRUE,Express,Online Payment,Sunny,Christmas Market,FALSE,4
2186,TRUE,TRUE,Overnight,Debit Card,Rainy,None,FALSE,2
2402,FALSE,FALSE,Express,Credit Card,Rainy,Black Friday,TRUE,2
3078,FALSE,TRUE,Overnight,Cash,Snowy,Christmas Market,TRUE,3
3104,TRUE,FALSE,Standard,Online Payment,Rainy,None,TRUE,3
3274,FALSE,TRUE,Overnight,Credit Card,Rainy,Black Friday,TRUE,1
3302,FALSE,FALSE,Express,Debit Card,Rainy,Christmas Market,TRUE,3
4078,FALSE,TRUE,Express,Cash,Sunny,Christmas Market,TRUE,1
4405,FALSE,TRUE,Express,Cash,Snowy,Christmas Market,TRUE,5
4927,TRUE,FALSE,Express,Credit Card,Snowy,None,TRUE,3
5866,FALSE,TRUE,Express,Online Payment,Rainy,Christmas Market,TRUE,2
6113,FALSE,TRUE,Express,Credit Card,Snowy,Christmas Market,TRUE,4
6337,TRUE,FALSE,Standard,Online Payment,Sunny,None,TRUE,3
7262,FALSE,FALSE,Express,Online Payment,Rainy,Christmas Market,FALSE,5
8404,FALSE,FALSE,Standard,Cash,Sunny,Christmas Market,TRUE,2
8430,FALSE,TRUE,Standard,Debit Card,Snowy,None,TRUE,1
8459,FALSE,TRUE,Express,Credit Card,Rainy,None,FALSE,1
9978,FALSE,TRUE,Express,Debit Card,Sunny,Christmas Market,TRUE,1
410,TRUE,TRUE,Standard,Debit Card,Sunny,Christmas Market,FALSE,1
805,TRUE,TRUE,Standard,Cash,Rainy,Christmas Market,FALSE,1
1250,FALSE,FALSE,Express,Online Payment,Sunny,Christmas Market,TRUE,3
1415,TRUE,FALSE,Express,Cash,Rainy,Black Friday,TRUE,2
2032,FALSE,TRUE,Overnight,Credit Card,Sunny,None,FALSE,3
2134,TRUE,TRUE,Express,Debit Card,Rainy,Black Friday,FALSE,5
2393,TRUE,TRUE,Standard,Credit Card,Rainy,Black Friday,TRUE,1
3407,FALSE,FALSE,Express,Debit Card,Sunny,Black Friday,TRUE,1
4289,TRUE,FALSE,Standard,Credit Card,Sunny,Christmas Market,FALSE,1
4477,FALSE,TRUE,Express,Online Payment,Snowy,None,FALSE,2
5083,FALSE,FALSE,Express,Credit Card,Sunny,Christmas Market,TRUE,2
5329,FALSE,TRUE,Overnight,Online Payment,Snowy,Christmas Market,FALSE,3
5439,TRUE,TRUE,Overnight,Debit Card,Rainy,Christmas Market,FALSE,3
5595,FALSE,FALSE,Standard,Debit Card,Rainy,Black Friday,FALSE,2
5606,TRUE,TRUE,Standard,Online Payment,Snowy,Black Friday,FALSE,3
5680,TRUE,FALSE,Standard,Cash,Sunny,None,FALSE,4
6125,FALSE,TRUE,Standard,Online Payment,Snowy,Christmas Market,FALSE,5
6137,FALSE,FALSE,Standard,Debit Card,Rainy,None,FALSE,2
6362,FALSE,FALSE,Overnight,Debit Card,Rainy,Black Friday,TRUE,1
6884,TRUE,FALSE,Overnight,Online Payment,Rainy,Christmas Market,TRUE,5
7398,TRUE,TRUE,Standard,Online Payment,Sunny,None,FALSE,3
7980,FALSE,FALSE,Express,Cash,Snowy,Black Friday,FALSE,4
8571,TRUE,TRUE,Express,Debit Card,Sunny,None,FALSE,2
9226,FALSE,TRUE,Standard,Cash,Snowy,None,FALSE,3
9250,TRUE,FALSE,Express,Credit Card,Sunny,Christmas Market,TRUE,1
9326,FALSE,FALSE,Overnight,Online Payment,Sunny,Black Friday,TRUE,4
9619,FALSE,FALSE,Standard,Online Payment,Snowy,None,TRUE,2
135,TRUE,TRUE,Express,Cash,Rainy,None,TRUE,1
329,FALSE,TRUE,Express,Credit Card,Rainy,Black Friday,TRUE,3
1279,FALSE,TRUE,Standard,Cash,Snowy,None,TRUE,3
1300,TRUE,FALSE,Standard,Cash,Rainy,None,FALSE,1
1527,FALSE,FALSE,Overnight,Online Payment,Sunny,None,TRUE,4
1844,TRUE,TRUE,Express,Cash,Sunny,None,TRUE,5
1868,TRUE,TRUE,Standard,Online Payment,Rainy,None,TRUE,1
2277,FALSE,FALSE,Overnight,Debit Card,Sunny,None,FALSE,5
2314,TRUE,FALSE,Overnight,Credit Card,Snowy,None,FALSE,4
2512,TRUE,FALSE,Express,Online Payment,Snowy,Christmas Market,FALSE,5
2652,TRUE,FALSE,Standard,Online Payment,Snowy,Black Friday,TRUE,2
2819,TRUE,FALSE,Express,Online Payment,Rainy,None,FALSE,2
2936,FALSE,FALSE,Standard,Debit Card,Rainy,None,FALSE,5
3278,TRUE,TRUE,Standard,Debit Card,Snowy,Black Friday,FALSE,4
3358,TRUE,TRUE,Overnight,Credit Card,Snowy,None,FALSE,3
3424,TRUE,FALSE,Standard,Online Payment,Snowy,Black Friday,FALSE,3
3440,TRUE,TRUE,Overnight,Cash,Rainy,Christmas Market,TRUE,5
5079,FALSE,FALSE,Express,Online Payment,Sunny,Christmas Market,TRUE,1
5267,TRUE,TRUE,Express,Online Payment,Sunny,Black Friday,FALSE,3
5594,TRUE,FALSE,Express,Cash,Snowy,Christmas Market,FALSE,1
6791,TRUE,TRUE,Standard,Cash,Snowy,None,TRUE,5
8728,TRUE,FALSE,Standard,Credit Card,Sunny,Christmas Market,FALSE,2
9067,FALSE,TRUE,Overnight,Credit Card,Snowy,Christmas Market,FALSE,3
9482,TRUE,FALSE,Standard,Debit Card,Rainy,Christmas Market,TRUE,5
9594,FALSE,TRUE,Overnight,Cash,Snowy,Black Friday,FALSE,3
9852,FALSE,FALSE,Express,Debit Card,Rainy,None,FALSE,3
464,FALSE,FALSE,Standard,Cash,Snowy,Black Friday,TRUE,3
492,TRUE,FALSE,Overnight,Credit Card,Sunny,Christmas Market,TRUE,3
1336,TRUE,FALSE,Overnight,Online Payment,Rainy,None,FALSE,1
1706,TRUE,FALSE,Express,Cash,Sunny,None,TRUE,4
1792,FALSE,FALSE,Standard,Debit Card,Sunny,Black Friday,TRUE,1
2653,TRUE,TRUE,Express,Credit Card,Rainy,Christmas Market,FALSE,3
3143,TRUE,TRUE,Standard,Credit Card,Snowy,Black Friday,FALSE,4
3441,FALSE,TRUE,Express,Credit Card,Sunny,Christmas Market,FALSE,4
3866,TRUE,TRUE,Overnight,Debit Card,Sunny,None,TRUE,3
4466,TRUE,TRUE,Express,Cash,Rainy,Black Friday,FALSE,1
4593,FALSE,FALSE,Standard,Online Payment,Sunny,Black Friday,TRUE,3
4731,FALSE,FALSE,Express,Online Payment,Rainy,Christmas Market,TRUE,5
5101,FALSE,FALSE,Standard,Debit Card,Snowy,Christmas Market,FALSE,5
5737,FALSE,TRUE,Express,Online Payment,Sunny,Christmas Market,TRUE,1
6335,TRUE,TRUE,Standard,Cash,Snowy,Black Friday,TRUE,5
6524,FALSE,TRUE,Overnight,Online Payment,Sunny,Christmas Market,FALSE,2
6835,TRUE,FALSE,Standard,Credit Card,Snowy,None,FALSE,4
7031,TRUE,TRUE,Express,Debit Card,Snowy,Christmas Market,TRUE,1
7393,TRUE,FALSE,Overnight,Online Payment,Rainy,None,FALSE,1
8929,FALSE,FALSE,Overnight,Cash,Rainy,Christmas Market,TRUE,1
9082,FALSE,FALSE,Express,Online Payment,Snowy,Christmas Market,TRUE,2
9557,FALSE,TRUE,Express,Credit Card,Sunny,Black Friday,TRUE,2
9753,TRUE,FALSE,Express,Cash,Snowy,None,TRUE,3
59,TRUE,TRUE,Standard,Cash,Snowy,None,FALSE,5
872,FALSE,TRUE,Standard,Online Payment,Rainy,None,TRUE,3
1079,FALSE,TRUE,Standard,Online Payment,Sunny,Black Friday,TRUE,4
1158,FALSE,FALSE,Standard,Credit Card,Snowy,Black Friday,FALSE,2
2065,FALSE,FALSE,Standard,Online Payment,Snowy,Black Friday,TRUE,1
3336,FALSE,TRUE,Express,Credit Card,Rainy,Black Friday,TRUE,1
3762,TRUE,FALSE,Standard,Credit Card,Rainy,Black Friday,FALSE,3
3998,TRUE,FALSE,Express,Credit Card,Snowy,None,TRUE,1
4196,FALSE,TRUE,Overnight,Debit Card,Snowy,Black Friday,TRUE,3
4235,FALSE,FALSE,Express,Cash,Sunny,Christmas Market,TRUE,2
4597,TRUE,TRUE,Standard,Cash,Rainy,Black Friday,FALSE,5
4661,TRUE,FALSE,Express,Cash,Rainy,Black Friday,FALSE,2
4771,TRUE,FALSE,Overnight,Debit Card,Rainy,None,TRUE,4
5413,TRUE,FALSE,Express,Online Payment,Sunny,None,TRUE,5
5667,FALSE,FALSE,Standard,Credit Card,Rainy,Christmas Market,FALSE,1
6346,FALSE,TRUE,Express,Cash,Rainy,None,FALSE,4
6775,FALSE,FALSE,Overnight,Credit Card,Sunny,Christmas Market,FALSE,4
6833,TRUE,FALSE,Express,Online Payment,Rainy,Christmas Market,TRUE,2
7017,TRUE,FALSE,Express,Cash,Sunny,Black Friday,TRUE,4
7063,TRUE,FALSE,Standard,Debit Card,Sunny,Christmas Market,FALSE,2
7263,TRUE,FALSE,Overnight,Online Payment,Rainy,None,FALSE,5
7663,TRUE,FALSE,Overnight,Credit Card,Snowy,Christmas Market,FALSE,4
8405,TRUE,FALSE,Standard,Credit Card,Sunny,Black Friday,FALSE,1
8591,TRUE,FALSE,Standard,Credit Card,Sunny,Christmas Market,FALSE,5
8927,FALSE,TRUE,Overnight,Cash,Sunny,None,FALSE,1
9109,FALSE,TRUE,Overnight,Debit Card,Rainy,None,TRUE,2
9724,FALSE,FALSE,Standard,Online Payment,Rainy,Christmas Market,TRUE,1
9871,FALSE,FALSE,Express,Online Payment,Sunny,Christmas Market,TRUE,1
64,TRUE,TRUE,Standard,Credit Card,Sunny,Black Friday,FALSE,4
393,FALSE,TRUE,Express,Cash,Rainy,Christmas Market,TRUE,3
626,FALSE,TRUE,Overnight,Credit Card,Snowy,Black Friday,FALSE,2
755,TRUE,FALSE,Standard,Credit Card,Sunny,None,TRUE,4
1058,FALSE,TRUE,Express,Cash,Rainy,Christmas Market,FALSE,3
1454,TRUE,TRUE,Overnight,Online Payment,Snowy,Black Friday,TRUE,2
1516,FALSE,TRUE,Standard,Credit Card,Rainy,Christmas Market,TRUE,1
1691,TRUE,TRUE,Overnight,Cash,Sunny,Black Friday,TRUE,5
1733,FALSE,TRUE,Express,Online Payment,Rainy,Black Friday,TRUE,4
1892,TRUE,TRUE,Express,Online Payment,Snowy,Black Friday,TRUE,4
1938,FALSE,FALSE,Express,Cash,Sunny,Black Friday,FALSE,2
2113,TRUE,FALSE,Standard,Cash,Rainy,Black Friday,TRUE,3
2501,TRUE,TRUE,Overnight,Debit Card,Snowy,Black Friday,FALSE,4
2555,TRUE,TRUE,Express,Credit Card,Sunny,None,TRUE,4
3072,TRUE,TRUE,Express,Credit Card,Snowy,None,FALSE,4
3801,TRUE,TRUE,Standard,Debit Card,Rainy,None,TRUE,2
3819,FALSE,FALSE,Express,Cash,Snowy,Christmas Market,TRUE,1
3870,TRUE,FALSE,Express,Credit Card,Sunny,Black Friday,TRUE,4
3938,FALSE,FALSE,Express,Credit Card,Rainy,None,TRUE,5
4052,FALSE,TRUE,Standard,Online Payment,Sunny,Christmas Market,FALSE,2
4500,FALSE,FALSE,Express,Debit Card,Rainy,None,FALSE,3
4511,FALSE,TRUE,Standard,Cash,Sunny,None,FALSE,2
4621,TRUE,FALSE,Express,Credit Card,Snowy,Black Friday,FALSE,5
4964,FALSE,FALSE,Overnight,Cash,Snowy,None,FALSE,2
5119,TRUE,TRUE,Overnight,Online Payment,Snowy,Black Friday,FALSE,2
5682,TRUE,TRUE,Standard,Cash,Sunny,None,FALSE,5
5876,FALSE,TRUE,Standard,Debit Card,Sunny,Christmas Market,TRUE,4
6597,TRUE,FALSE,Overnight,Credit Card,Snowy,None,FALSE,1
6799,TRUE,FALSE,Overnight,Credit Card,Snowy,Black Friday,FALSE,3
7131,FALSE,FALSE,Express,Online Payment,Snowy,Christmas Market,FALSE,3
8186,FALSE,TRUE,Express,Online Payment,Rainy,Christmas Market,FALSE,5
8466,FALSE,TRUE,Express,Cash,Rainy,Christmas Market,TRUE,5
8662,TRUE,TRUE,Standard,Credit Card,Sunny,Black Friday,TRUE,3
9009,FALSE,TRUE,Express,Cash,Snowy,Black Friday,TRUE,2
9417,TRUE,FALSE,Standard,Credit Card,Rainy,Black Friday,TRUE,4
9865,FALSE,FALSE,Express,Credit Card,Snowy,Black Friday,FALSE,5
9875,TRUE,FALSE,Overnight,Credit Card,Sunny,Black Friday,TRUE,3
255,TRUE,TRUE,Overnight,Debit Card,Sunny,None,TRUE,3
513,TRUE,FALSE,Overnight,Online Payment,Rainy,Black Friday,FALSE,3
631,FALSE,TRUE,Overnight,Cash,Snowy,Christmas Market,FALSE,1
730,TRUE,TRUE,Standard,Cash,Sunny,None,FALSE,3
865,FALSE,FALSE,Overnight,Online Payment,Sunny,None,TRUE,2
936,FALSE,FALSE,Standard,Credit Card,Rainy,Christmas Market,FALSE,3
1748,FALSE,TRUE,Overnight,Cash,Sunny,Christmas Market,TRUE,3
2300,TRUE,TRUE,Standard,Credit Card,Rainy,Black Friday,FALSE,1
2691,FALSE,TRUE,Express,Credit Card,Snowy,Christmas Market,TRUE,3
3637,TRUE,TRUE,Overnight,Online Payment,Snowy,Black Friday,FALSE,3
3972,FALSE,TRUE,Overnight,Online Payment,Rainy,Black Friday,FALSE,5
4155,FALSE,FALSE,Standard,Online Payment,Sunny,Black Friday,FALSE,5
4256,FALSE,FALSE,Overnight,Debit Card,Sunny,None,FALSE,5
4312,TRUE,TRUE,Overnight,Debit Card,Sunny,None,TRUE,3
4591,FALSE,TRUE,Standard,Online Payment,Rainy,Christmas Market,FALSE,1
4972,TRUE,FALSE,Standard,Cash,Snowy,Christmas Market,FALSE,4
5097,FALSE,TRUE,Standard,Online Payment,Rainy,Black Friday,FALSE,2
5355,TRUE,TRUE,Overnight,Online Payment,Sunny,None,TRUE,5
5809,TRUE,TRUE,Standard,Cash,Rainy,Black Friday,TRUE,2
6223,TRUE,FALSE,Express,Credit Card,Rainy,None,TRUE,3
6828,FALSE,FALSE,Overnight,Debit Card,Sunny,Black Friday,TRUE,5
7799,TRUE,TRUE,Overnight,Cash,Snowy,None,FALSE,1
8158,FALSE,TRUE,Standard,Cash,Rainy,Black Friday,FALSE,1
8165,TRUE,FALSE,Express,Cash,Snowy,Black Friday,TRUE,3
8182,FALSE,FALSE,Express,Cash,Snowy,None,TRUE,4
9150,TRUE,FALSE,Overnight,Debit Card,Snowy,Black Friday,FALSE,5
9198,FALSE,TRUE,Standard,Online Payment,Rainy,None,TRUE,4
9534,TRUE,TRUE,Standard,Cash,Sunny,Black Friday,TRUE,4
106,FALSE,FALSE,Express,Debit Card,Sunny,Black Friday,TRUE,2
720,FALSE,FALSE,Standard,Debit Card,Snowy,None,FALSE,5
769,TRUE,FALSE,Overnight,Online Payment,Sunny,None,TRUE,4
1497,FALSE,TRUE,Express,Debit Card,Rainy,None,TRUE,3
1535,TRUE,FALSE,Overnight,Credit Card,Sunny,Black Friday,TRUE,2
1564,FALSE,FALSE,Express,Debit Card,Snowy,None,FALSE,5
1865,FALSE,TRUE,Overnight,Credit Card,Snowy,None,FALSE,1
2109,FALSE,TRUE,Standard,Cash,Rainy,None,FALSE,1
2480,TRUE,TRUE,Express,Credit Card,Snowy,Black Friday,FALSE,3
2647,FALSE,FALSE,Standard,Online Payment,Snowy,Christmas Market,TRUE,2
2780,FALSE,TRUE,Standard,Cash,Sunny,Black Friday,TRUE,5
3176,FALSE,FALSE,Standard,Debit Card,Snowy,None,TRUE,3
3376,TRUE,TRUE,Overnight,Online Payment,Rainy,Christmas Market,FALSE,5
3505,TRUE,FALSE,Express,Debit Card,Snowy,None,FALSE,5
4082,FALSE,FALSE,Express,Debit Card,Sunny,None,FALSE,4
4281,FALSE,TRUE,Standard,Credit Card,Snowy,None,FALSE,2
4987,FALSE,FALSE,Overnight,Cash,Snowy,None,FALSE,1
5343,FALSE,TRUE,Standard,Cash,Rainy,Black Friday,TRUE,1
5918,FALSE,TRUE,Overnight,Cash,Snowy,None,TRUE,2
5937,TRUE,FALSE,Standard,Credit Card,Rainy,Black Friday,FALSE,2
6242,FALSE,TRUE,Standard,Online Payment,Rainy,Black Friday,TRUE,2
6302,FALSE,FALSE,Overnight,Online Payment,Rainy,Black Friday,TRUE,3
6916,FALSE,FALSE,Overnight,Debit Card,Rainy,None,TRUE,3
7159,TRUE,FALSE,Standard,Credit Card,Snowy,Black Friday,FALSE,3
7629,FALSE,TRUE,Standard,Credit Card,Snowy,None,FALSE,3
8007,FALSE,TRUE,Express,Online Payment,Sunny,None,TRUE,2
8204,TRUE,FALSE,Standard,Debit Card,Rainy,Christmas Market,FALSE,1
8476,TRUE,TRUE,Overnight,Online Payment,Snowy,Black Friday,TRUE,1
8540,FALSE,TRUE,Express,Cash,Rainy,Black Friday,TRUE,2
8710,TRUE,TRUE,Standard,Credit Card,Rainy,None,FALSE,5
9406,TRUE,TRUE,Express,Credit Card,Sunny,None,FALSE,4
9674,FALSE,TRUE,Standard,Cash,Rainy,Black Friday,FALSE,2
9761,TRUE,TRUE,Express,Online Payment,Snowy,None,TRUE,3
9802,FALSE,TRUE,Express,Online Payment,Snowy,Black Friday,TRUE,5
25,FALSE,FALSE,Express,Credit Card,Sunny,Black Friday,FALSE,3
90,TRUE,TRUE,Express,Credit Card,Sunny,Black Friday,FALSE,5
877,TRUE,FALSE,Standard,Cash,Sunny,Christmas Market,FALSE,1
1185,TRUE,TRUE,Standard,Debit Card,Rainy,Black Friday,TRUE,5
1193,FALSE,TRUE,Overnight,Debit Card,Sunny,Christmas Market,TRUE,2
1230,TRUE,TRUE,Standard,Credit Card,Snowy,Black Friday,FALSE,1
1391,FALSE,TRUE,Express,Cash,Snowy,Christmas Market,TRUE,5
1861,FALSE,FALSE,Overnight,Credit Card,Rainy,Black Friday,FALSE,2
2072,TRUE,FALSE,Express,Online Payment,Sunny,None,TRUE,2
2083,FALSE,FALSE,Standard,Credit Card,Snowy,Black Friday,TRUE,4
3661,TRUE,FALSE,Express,Debit Card,Snowy,None,FALSE,2
3753,TRUE,FALSE,Overnight,Credit Card,Sunny,None,TRUE,4
4346,TRUE,TRUE,Express,Credit Card,Rainy,Black Friday,TRUE,2
4755,FALSE,TRUE,Overnight,Cash,Rainy,Black Friday,TRUE,4
5005,TRUE,TRUE,Overnight,Online Payment,Rainy,Christmas Market,FALSE,3
5559,TRUE,FALSE,Express,Debit Card,Sunny,None,FALSE,1
6479,TRUE,TRUE,Express,Cash,Rainy,None,FALSE,4
6568,FALSE,FALSE,Express,Credit Card,Snowy,Black Friday,FALSE,2
6927,TRUE,TRUE,Standard,Online Payment,Sunny,Black Friday,FALSE,3
7073,TRUE,FALSE,Overnight,Cash,Sunny,None,TRUE,4
